Filename,ISO_639-3,Language,Family,Genus,Subgenus,Speakers,Script,Full,Parts,Year
Achuar-NT.xml,acu,Achuar-Shiwiar,Jivaroan,,,"5,000",Latin,False,NT,1981
Afrikaans.xml,afr,Afrikaans,Indo-European,Germanic,West,"5,000,000",Latin,True,,1953
Aguaruna-NT.xml,agr,Aguaruna,Jivaroan,,,"38,300",Latin,False,NT,1973
Akawaio-NT.xml,ake,Akawaio,Carib,Northern,East-West Guiana,"4,500",Latin,False,NT,2010
Albanian.xml,als,Albanian,Indo-European,Albanian,Tosk,"3,000,000",Latin,True,,1993
Amharic.xml,amh,Amharic,Afro-Asiatic,Semitic,South,"17,500,000",Ethiopic,False,NT,1840
Amuzgo-NT.xml,amu,Amuzgo,Oto-Manguean,Amuzgoan,,"23,000",Latin,False,NT,1973
Arabic.xml,arb,Arabic,Afro-Asiatic,Semitic,Central,"206,000,000",Arabic,True,,1865
Armenian-PART.xml,hye,Armenian,Indo-European,Armenian,,"64,00,000",Armenian,False,Parts,1883
Aukan-NT.xml,djk,Aukan,Creole,English based,Atlantic,"15,500",Latin,False,NT,1999
Barasana-NT.xml,bsn,Barasana-Eduria,Tucanoan,Eastern Tucanoan,Central,"1,890",Latin,False,NT,2001
Basque-NT.xml,eus,Basque,Basque,,,"700,000",Latin,False,NT,1855
Bulgarian.xml,bul,Bulgarian,Indo-European,Slavic,South,"9,000,000",Cyrillic,True,,1864
Cabecar-NT.xml,cjp,Cabécar,Chibchan,Talamanca,,"8,840",Latin,False,NT,1993
Cakchiquel-NT.xml,cak,Cakchiquel,Mayan,Quichean,Greater Quichean,"132,000",Latin,False,NT,1931
Campa-NT.xml,cni,Campa (Asháninka),Arawakan,Maipuran,Southern Maipuran,"26,100",Latin,False,NT,1972
Camsa-NT.xml,kbh,Camsá,Equatorial (?),,,"4,770",Latin,False,NT,1990
Cebuano.xml,ceb,Cebuano,Austronesian,Malayo-Polynesian,Phillipine,"15,800,000",Latin,True,,1917
Chamorro-PART.xml,cha,Chamorro,Austronesian,Malayo-Polynesian,Chamorro,"92,000",Latin,False,Parts,2007
Cherokee-NT.xml,chr,Cherokee,Iroquoian,Southern Iroquoian,,"16,400",Cherokee,False,NT,1850
Chinantec-NT.xml,chq,Chinantec (Quiotepec),Oto-Manguean,Chinantecan,,"8,000",Latin,False,NT,1983
Chinese-tok.xml,cmn,Chinese,Sino-Tibetan,Sinitic,Chinese,"840,000,000",Chinese,True,,1874
Chinese.xml,cmn,Chinese,Sino-Tibetan,Sinitic,Chinese,"840,000,000",Chinese,True,,1874
Coptic-NT.xml,cop,Coptic,Afro-Asiatic,Egyptian,,Extinct,Coptic,False,NT,1716
Creole.xml,hat,Haitian Creole,Creole,,,"7,700,000",Latin,True,,1985
Croatian.xml,hrv,Croatian,Indo-European,Slavic,South,"5,500,000",Latin,True,,1831
Czech.xml,ces,Czech,Indo-European,Slavic,West,"9,500,000",Latin,True,,1380
Danish.xml,dan,Danish,Indo-European,Germanic,North,"5,500,000",Latin,True,,1550
Dinka-NT.xml,dik,Dinka,Nilo-Saharan,Eastern Sudanic,Nilotic,"450,000",Latin,False,NT,2006
Dutch.xml,nld,Dutch,Indo-European,Germanic,West,"25,000,000",Latin,,,
English-WEB.xml,eng,English,Indo-European,Germanic,West,"328,000,000",Latin,True,,1611
English.xml,eng,English,Indo-European,Germanic,West,"328,000,000",Latin,True,,1611
Esperanto.xml,epo,Esperanto,Constructed,,,"1,000",Latin,True,,1900
Estonian-PART.xml,est,Estonian,Uralic,Finno-Ugric,Finno-Permic,"1,000,000",Latin,True,,1739
Ewe-NT.xml,ewe,Ewe,Niger-Congo,Atlantic-Congo,Volta-Congo,"2,250,000",Latin,False,NT,1911
Farsi.xml,pes,Farsi (Persian),Indo-European,Indo-Iranian,Iranian,"22,000,000",Arabic,True,,1838
Finnish.xml,fin,Finnish,Uralic,Finno-Ugric,Finno-Permic,"5,000,000",Latin,True,,1776
French.xml,fra,French,Indo-European,Italic,Romance,"58,000,000",Latin,True,,1776
Gaelic-PART.xml,gla,Gaelic (Scottish),Indo-European,Celtic,Insular,"67,000",Latin,False,Parts,1801
Galela-NT.xml,gbi,Galela,West Papuan,North Halmahera,Galela-Loloda,"79,000",Latin,False,NT,2002
German.xml,deu,German,Indo-European,Germanic,West,"90,300,000",Latin,True,,1545
Greek.xml,ell,Greek,Indo-European,Greek,Attic,"13,000,000",Greek,True,,1840
Gujarati-NT.xml,guj,Gujarati,Indo-European,Indo-Iranian,Indo-Aryan,"45,500,000",Gujarati,False,NT,1823
Hebrew.xml,heb,Hebrew,Afro-Asiatic,Semitic,Central,"5,300,000",Hebrew,True,,1599
Hindi.xml,hin,Hindi,Indo-European,Indo-Iranian,Indo-Aryan,"180,000,000",Devanagari,True,,1818
Hungarian.xml,hun,Hungarian,Uralic,Finno-Ugric,Ugric,"12,500,000",Latin,True,,1590
Icelandic.xml,isl,Icelandic,Indo-European,Germanic,North,"230,000",Ethiopic,True,,1863
Indonesian.xml,ind,Indonesian,Austronesian,Malayo-Polynesian,Malayo-Sumbawan,"23,100,000",Latin,True,,1974
Italian.xml,ita,Italian,Indo-European,Italic,Romance,"61,700,000",Latin,True,,1649
Jakalteko-NT.xml,jai,Jakalteko,Mayan,Kanjobalan-Chujean,Kanjobalan,"77,700",Latin,False,NT,1979
Japanese-tok.xml,jpn,Japanese,Japonic,,,"122,000,000",Kanjii,True,,1883
Japanese.xml,jpn,Japanese,Japonic,,,"122,000,000",Kanjii,True,,1883
K'iche'-NT-SIL.xml,quc,K’iche’,Mayan,Quichean-Mamean,Greater Quichean,"1,900,000",Latin,False,NT,1995
K'iche'-NT.xml,quc,K’iche’,Mayan,Quichean-Mamean,Greater Quichean,"1,900,000",Latin,False,NT,1995
Kabyle-NT.xml,kab,Kabyle,Afro-Asiatic,Berber,Northern,"3,100,000",Latin,False,NT,2011
Kannada.xml,kan,Kannada,Dravidian,Southern,Tamil-Kannada,"35,300,000",Kannada,True,,1831
Korean.xml,kor,Korean,Altaic(?),,,"66,300,000",Hangul,True,,1911
Latin.xml,lat,Latin,Indo-European,Italic,Latino-Faliscan,Extinct,Latin,True,,400
Latvian-NT.xml,lav,Latvian,Indo-European,Baltic,Eastern,"1,500,000",Latin,False,NT,1689
